ID,国語,数学,英語,理科,社会,音楽,体育,技術家庭,合計
10001,75,55,72,48,74,39,62,37,462
10002,74,35,56,86,72,56,89,59,527
10003,80,50,68,59,56,47,55,46,461
10004,90,2,69,35,66,47,98,43,450
10005,70,34,64,34,72,65,53,62,454
10006,79,58,45,58,75,25,74,69,483
10007,60,41,59,64,76,49,62,61,472
10008,67,65,69,71,55,57,80,74,538
10009,68,40,77,53,70,62,74,67,511
10010,71,91,69,31,68,74,69,37,510
10011,74,21,77,53,56,50,65,55,451
10012,65,44,77,49,72,46,68,68,489
10013,72,44,60,39,58,42,49,25,389
10014,66,41,55,33,73,27,78,58,431
10015,83,37,45,77,61,27,79,65,474
10016,67,89,83,39,72,54,42,55,501
10017,62,36,36,45,79,32,72,32,394
10018,74,76,62,54,84,61,68,42,521
10019,62,57,55,34,70,53,68,55,454
10020,65,57,70,64,74,48,77,63,518
10021,78,47,52,61,68,28,52,47,433
10022,61,40,53,65,62,49,67,57,454
10023,70,65,69,65,66,56,74,50,515
10024,64,83,61,35,80,37,57,55,472
10025,84,44,57,32,77,16,65,63,438
10026,71,51,57,44,73,57,53,66,472
10027,76,63,70,54,65,48,68,57,501
10028,63,45,54,31,74,36,62,69,434
10029,66,45,73,43,62,38,72,65,464
10030,85,42,77,62,69,47,61,25,468
10031,75,61,66,57,79,65,85,66,554
10032,59,34,64,69,61,55,46,27,415
10033,66,64,73,34,73,26,70,64,470
10034,76,62,63,55,81,50,61,58,506
10035,71,45,88,50,73,53,66,41,487
10036,73,43,47,39,57,52,75,51,437
10037,63,50,56,47,79,34,64,40,433
10038,62,13,47,45,78,52,75,54,426
10039,82,47,41,37,65,72,66,52,462
10040,68,34,52,51,81,37,86,31,440
10041,78,16,71,55,77,49,67,80,493
10042,54,27,54,41,58,53,45,40,372
10043,71,49,73,63,71,34,43,51,455
10044,70,56,66,66,69,29,54,32,442
10045,71,60,67,25,97,29,63,49,461
10046,58,51,78,56,56,48,67,63,477
10047,72,87,70,57,72,46,76,27,507
10048,78,70,50,44,73,88,47,67,517
10049,80,60,67,52,69,86,66,24,504
10050,67,14,78,56,67,72,52,58,464
10051,71,18,75,45,60,43,82,68,462
10052,62,38,73,57,68,65,73,54,490
10053,58,24,63,39,67,56,68,42,417
10054,76,52,81,33,70,48,67,74,501
10055,82,49,59,55,59,23,60,59,446
10056,67,58,49,60,67,71,56,55,483
10057,66,54,72,33,68,61,54,83,491
10058,71,43,55,56,75,64,47,62,473
10059,64,57,42,62,64,65,51,59,464
10060,75,35,43,30,67,43,49,72,414
10061,74,22,60,64,67,37,71,77,472
10062,75,50,58,50,61,70,61,36,461
10063,66,73,62,53,75,49,61,70,509
10064,68,43,62,64,62,39,88,40,466
10065,64,30,55,41,71,52,55,21,389
10066,72,41,73,60,73,54,73,58,504
10067,53,54,68,58,71,49,63,69,485
10068,71,57,64,39,64,43,66,63,467
10069,86,30,62,62,66,33,71,75,485
10070,78,54,64,61,67,51,62,47,484
10071,65,16,45,56,84,37,70,70,443
10072,75,54,65,60,69,43,88,53,507
10073,64,60,53,68,74,39,60,47,465
10074,83,41,57,64,86,29,78,45,483
10075,65,65,53,49,64,36,76,28,436
10076,78,42,93,50,59,44,53,39,458
10077,57,56,55,53,60,46,98,33,458
10078,68,21,61,59,65,45,71,64,454
10079,74,41,56,55,65,30,60,65,446
10080,71,82,44,49,56,62,85,52,501
10081,68,24,48,10,73,51,61,38,373
10082,45,60,57,40,69,40,62,50,423
10083,68,30,60,50,61,45,46,73,433
10084,57,21,71,50,66,66,86,57,474
10085,70,83,65,61,67,51,76,68,541
10086,83,18,62,68,58,46,87,47,469
10087,78,6,55,62,65,40,62,77,445
10088,66,50,60,54,80,57,60,35,462
10089,82,48,52,28,77,90,75,52,504
10090,64,42,57,44,61,34,57,37,396
10091,64,50,67,68,81,49,89,49,517
10092,87,53,53,50,65,30,49,30,417
10093,68,38,78,70,80,47,47,40,468
10094,75,59,85,57,64,42,90,62,534
10095,73,52,81,71,68,59,79,62,545
10096,70,28,58,64,83,40,60,67,470
10097,66,68,74,58,76,29,58,73,502
10098,59,49,66,34,65,55,73,61,462
10099,60,43,55,41,71,39,89,63,461
10100,75,39,68,44,57,52,58,66,459
10101,82,12,76,65,68,29,77,27,436
10102,76,43,59,79,74,46,74,66,517
10103,66,55,76,61,65,83,61,57,524
10104,60,51,68,53,70,44,82,69,497
10105,72,25,72,51,78,56,64,66,484
10106,75,68,44,46,74,51,63,65,486
10107,68,53,71,50,62,70,75,40,489
10108,81,35,71,30,69,47,63,64,460
10109,72,37,50,37,85,65,73,42,461
10110,73,35,56,69,61,44,74,39,451
10111,69,41,48,60,60,30,69,52,429
10112,73,63,74,57,55,18,63,77,480
10113,59,44,67,40,67,41,92,49,459
10114,74,32,61,64,74,17,73,33,428
10115,77,46,66,49,57,57,71,58,481
10116,52,70,68,31,74,52,81,61,489
10117,68,49,70,33,74,45,61,44,444
10118,62,38,45,43,72,56,67,58,441
10119,62,33,71,56,63,72,51,55,463
10120,72,30,61,47,58,52,59,40,419
10121,72,50,62,59,61,34,69,59,466
10122,58,40,55,30,69,18,71,57,398
10123,69,29,74,48,65,62,71,100,518
10124,40,65,42,42,56,38,68,38,389
10125,70,38,64,51,76,37,73,81,490
10126,60,47,71,38,72,50,56,51,445
10127,72,42,50,67,63,55,58,75,482
10128,74,53,54,34,58,22,39,52,386
10129,81,51,65,46,71,74,63,44,495
10130,64,41,51,59,67,46,53,64,445
10131,69,29,70,50,66,53,57,52,446
10132,66,38,91,57,65,65,67,24,473
10133,70,37,60,39,73,28,76,44,427
10134,71,50,64,35,72,45,70,47,454
10135,79,44,54,53,73,63,42,65,473
10136,68,51,86,53,69,65,39,64,495
10137,77,43,56,59,66,62,70,75,508
10138,80,47,51,41,79,44,68,49,459
10139,85,54,48,48,64,52,79,39,469
10140,63,59,57,46,70,48,53,49,445
10141,71,65,48,45,66,64,76,68,503
10142,76,78,62,45,69,65,56,60,511
10143,70,66,64,52,60,82,66,43,503
10144,73,55,81,67,63,64,52,51,506
10145,67,22,62,49,71,39,57,59,426
10146,73,55,66,46,75,56,75,79,525
10147,70,49,69,58,59,36,57,81,479
10148,64,0,55,31,63,44,66,28,351
10149,83,59,65,39,68,65,70,64,513
10150,79,27,57,42,74,48,83,30,440
10151,78,81,77,42,70,41,76,48,513
10152,56,63,75,40,65,60,44,34,437
10153,77,36,74,50,69,38,55,62,461
10154,72,70,55,55,72,65,69,54,512
10155,60,9,64,48,69,52,78,40,420
10156,77,47,72,36,60,29,60,63,444
10157,75,41,62,43,82,63,64,32,462
10158,70,68,65,55,47,54,46,68,473
10159,63,50,52,61,73,69,66,58,492
10160,66,66,71,75,58,52,56,36,480
10161,79,46,89,42,74,26,79,40,475
10162,70,64,63,62,68,37,49,66,479
10163,76,1,54,56,65,45,65,55,417
10164,71,44,70,28,72,63,70,77,495
10165,70,100,62,29,63,51,74,54,503
10166,76,44,72,51,68,62,63,28,464
10167,63,35,64,36,67,34,70,56,425
10168,80,64,48,47,78,72,58,36,483
10169,72,72,43,33,71,49,69,57,466
10170,66,60,65,25,77,35,54,56,438
10171,71,41,58,44,65,58,84,58,479
10172,67,31,51,39,70,48,69,71,446
10173,66,40,82,38,73,45,75,44,463
10174,67,43,59,43,63,35,46,70,426
10175,71,63,46,52,84,59,61,48,484
10176,62,83,75,48,81,61,77,53,540
10177,67,40,63,60,70,47,79,66,492
10178,81,35,57,38,79,65,69,44,468
10179,67,69,48,42,69,60,78,68,501
10180,71,73,70,56,70,61,60,55,516
10181,65,25,58,43,76,79,63,77,486
10182,72,43,77,43,60,32,43,30,400
10183,60,44,80,40,62,38,75,38,437
10184,77,67,63,50,58,35,73,54,477
10185,87,75,80,46,76,51,81,58,554
10186,73,57,67,40,72,44,74,40,467
10187,68,29,50,64,69,59,38,80,457
10188,59,40,64,19,66,44,59,48,399
10189,64,42,48,45,67,51,44,49,410
10190,72,61,52,57,69,23,62,57,453
10191,78,24,46,29,63,48,76,44,408
10192,71,46,68,54,59,47,61,65,471
10193,91,44,72,27,55,44,76,61,470
10194,77,44,61,65,84,72,50,53,506
10195,62,15,71,54,57,28,70,54,411
10196,73,34,63,36,56,57,62,64,445
10197,68,23,76,52,74,42,67,50,452
10198,77,27,76,66,65,55,59,76,501
10199,79,70,51,59,62,49,68,49,487
10200,75,77,67,34,67,24,70,47,461
10201,67,74,77,34,73,28,54,75,482
10202,69,59,75,63,84,42,62,48,502
10203,65,13,58,48,75,37,66,66,428
10204,76,43,61,47,69,18,65,58,437
10205,66,64,73,47,77,58,59,64,508
10206,59,66,54,65,76,62,56,77,515
10207,69,41,75,45,66,26,50,66,438
10208,83,23,61,30,74,36,60,47,414
10209,62,45,59,60,66,52,62,44,450
10210,76,65,52,45,70,71,71,75,525
10211,82,40,64,56,65,37,45,54,443
10212,81,31,72,45,71,60,76,76,512
10213,63,52,57,38,61,48,74,56,449
10214,63,64,61,37,74,61,75,52,487
10215,78,52,76,43,79,30,55,39,452
10216,67,43,65,81,67,62,44,70,499
10217,67,14,49,58,75,46,57,56,422
10218,75,57,38,44,67,36,76,50,443
10219,72,29,54,62,100,24,88,38,467
10220,66,33,73,45,65,70,76,42,470
10221,81,54,54,38,87,43,67,80,504
10222,85,38,78,48,75,54,50,53,481
10223,70,52,65,55,74,29,80,59,484
10224,82,59,58,46,79,50,83,76,533
10225,60,33,68,55,85,42,69,46,458
10226,67,21,65,61,71,40,61,64,450
10227,78,53,57,46,81,88,66,62,531
10228,86,67,75,38,56,49,52,52,475
10229,75,42,70,43,63,50,52,45,440
10230,78,50,72,49,61,45,46,67,468
10231,73,54,63,43,76,46,60,60,475
10232,68,46,48,39,71,37,84,58,451
10233,77,35,31,48,69,54,63,41,418
10234,67,50,53,63,55,36,69,76,469
10235,69,86,50,53,64,59,56,63,500
10236,65,53,61,65,84,58,36,41,463
10237,57,68,67,71,77,29,56,31,456
10238,73,38,68,38,61,85,75,52,490
10239,56,27,75,24,95,41,49,48,415
10240,66,33,66,44,69,38,83,69,468
10241,87,31,69,54,68,42,68,51,470
10242,77,54,58,46,77,18,62,60,452
10243,62,46,63,52,49,55,62,78,467
10244,76,37,40,38,73,32,57,55,408
10245,78,63,48,61,64,46,74,37,471
10246,65,42,41,45,70,49,63,89,464
10247,80,51,78,59,70,40,54,67,499
10248,64,41,66,51,81,44,48,43,438
10249,75,47,81,62,57,59,74,69,524
10250,63,58,50,67,81,46,74,74,513
10251,78,43,78,65,66,33,83,76,522
10252,72,49,74,45,79,63,50,38,470
10253,81,46,50,35,85,26,81,55,459
10254,59,52,60,68,56,57,49,75,476
10255,87,44,54,58,75,50,63,72,503
10256,79,44,70,53,59,47,63,74,489
10257,80,45,59,34,61,34,60,33,406
10258,85,36,64,25,82,60,78,45,475
10259,82,68,74,65,66,66,77,75,573
10260,56,64,50,42,45,43,57,62,419
10261,77,44,66,67,67,35,70,71,497
10262,55,59,66,51,72,34,64,32,433
10263,76,75,61,62,72,26,88,29,489
10264,59,70,49,87,70,45,53,53,486
10265,68,77,66,32,66,52,52,58,471
10266,68,69,56,41,77,49,67,39,466
10267,70,53,73,52,78,41,71,39,477
10268,64,64,66,54,82,33,76,82,521
10269,74,37,53,73,68,60,49,43,457
10270,76,42,54,42,75,43,72,53,457
10271,60,72,71,44,58,59,60,66,490
10272,66,63,70,24,66,45,64,46,444
10273,75,63,68,50,71,51,72,59,509
10274,70,35,63,53,78,31,88,64,482
10275,59,47,73,37,55,65,68,59,463
10276,74,29,57,55,67,54,67,77,480
10277,70,35,55,46,79,53,64,45,447
10278,72,46,66,58,84,30,67,52,475
10279,71,43,83,50,65,58,35,46,451
10280,68,40,56,47,70,51,52,59,443
10281,74,58,44,70,65,39,52,63,465
10282,61,33,82,41,63,27,52,43,402
10283,64,74,57,58,78,48,75,48,502
10284,95,37,58,52,72,72,53,51,490
10285,87,45,77,38,83,29,72,64,495
10286,74,42,79,45,65,60,57,58,480
10287,82,43,51,57,79,29,60,61,462
10288,64,50,45,46,61,36,75,49,426
10289,63,52,61,32,72,69,60,60,469
10290,57,30,67,42,74,47,61,47,425
10291,73,56,55,38,61,50,66,56,455
10292,79,56,66,34,76,53,79,87,530
10293,63,43,68,44,85,47,62,19,431
10294,74,31,68,37,86,69,71,57,493
10295,74,29,50,11,82,52,73,60,431
10296,78,87,56,52,70,19,50,47,459
10297,71,53,74,43,75,43,82,57,498
10298,77,73,52,48,68,72,82,43,515
10299,64,69,53,42,59,60,65,47,459
10300,72,29,56,53,73,40,62,34,419
10301,91,30,66,35,68,40,47,46,423
10302,76,60,51,54,63,26,64,48,442
10303,59,53,53,44,88,46,58,42,443
10304,64,28,57,49,74,72,56,56,456
10305,61,40,58,51,78,56,69,70,483
10306,76,17,58,33,61,42,57,46,390
10307,67,37,70,51,63,64,78,51,481
10308,73,46,62,16,68,42,60,33,400
10309,71,22,51,59,80,41,61,75,460
10310,66,50,57,48,69,73,63,66,492
10311,86,63,43,63,74,28,69,55,481
10312,69,52,55,80,73,34,73,64,500
10313,76,83,68,46,79,84,43,63,542
10314,63,45,71,90,70,63,66,46,514
10315,78,59,44,32,60,30,85,48,436
10316,66,52,66,54,71,44,63,58,474
10317,75,21,60,41,69,62,73,75,476
10318,72,26,56,33,65,21,78,29,380
10319,80,53,54,65,47,68,74,67,508
10320,81,46,54,54,88,87,75,41,526
10321,73,45,63,57,74,61,83,56,512
10322,74,72,72,46,63,58,63,65,513
10323,73,45,99,37,76,50,75,17,472
10324,73,67,59,66,73,66,61,43,508
10325,69,31,63,52,67,68,63,39,452
10326,83,55,65,44,76,50,54,50,477
10327,70,48,69,62,55,57,68,72,501
10328,76,81,61,32,67,35,77,54,483
10329,58,53,73,57,56,78,64,51,490
10330,67,72,71,53,56,59,66,76,520
10331,84,20,69,55,63,41,44,50,426
10332,59,65,56,66,66,66,76,66,520
10333,66,45,54,52,66,58,48,78,467
10334,70,47,72,48,58,57,59,72,483
10335,83,79,60,42,67,39,65,68,503
10336,65,62,36,62,72,35,73,73,478
10337,75,46,56,33,79,38,43,60,430
10338,68,67,55,62,71,55,73,42,493
10339,64,53,67,53,90,41,65,62,495
10340,73,47,61,61,68,64,54,88,516
10341,58,81,57,24,85,46,72,51,474
10342,59,60,68,88,79,59,66,81,560
10343,65,67,73,13,90,48,69,65,490
10344,58,0,77,43,62,46,58,76,420
10345,50,52,64,27,70,45,58,77,443
10346,74,53,63,54,72,51,71,65,503
10347,63,49,55,43,63,27,82,28,410
10348,70,64,59,44,70,60,56,44,467
10349,73,56,62,36,47,45,80,69,468
10350,76,40,74,59,70,46,76,55,496
10351,59,61,60,53,72,66,85,43,499
10352,74,44,45,37,66,32,65,28,391
10353,62,82,64,44,57,84,69,43,505
10354,73,74,71,65,75,15,65,63,501
10355,71,50,56,43,69,36,89,78,492
10356,79,69,68,21,80,66,93,31,507
10357,74,21,54,33,66,48,68,35,399
10358,65,71,64,48,62,60,47,50,467
10359,57,56,74,35,79,46,49,41,437
10360,69,39,59,51,86,53,74,49,480
10361,81,43,55,41,78,61,50,56,465
10362,68,54,42,57,74,59,81,57,492
10363,79,44,66,43,70,45,69,71,487
10364,65,45,52,67,69,40,55,46,439
10365,81,40,62,57,72,53,53,57,475
10366,74,37,74,60,58,77,76,78,534
10367,69,43,65,63,59,84,63,55,501
10368,72,60,56,38,59,47,58,64,454
10369,75,34,74,61,71,52,55,79,501
10370,78,70,61,68,88,60,67,60,552
10371,79,45,62,59,74,53,68,67,507
10372,79,58,72,87,73,49,58,47,523
10373,57,64,48,69,79,24,64,55,460
10374,62,11,81,73,67,49,49,59,451
10375,80,59,55,31,83,55,63,60,486
10376,61,65,51,55,54,48,75,64,473
10377,62,47,61,43,63,43,72,63,454
10378,75,74,70,62,74,31,63,70,519
10379,84,53,79,59,63,51,70,55,514
10380,65,81,76,56,66,58,72,39,513
10381,81,68,63,54,57,36,66,66,491
10382,60,12,72,41,65,30,76,16,372
10383,73,31,61,57,81,54,90,54,501
10384,70,47,56,31,65,50,59,56,434
10385,81,47,66,40,65,53,64,62,478
10386,70,47,58,40,78,52,83,50,478
10387,54,47,90,39,71,47,92,55,495
10388,74,40,76,37,83,36,68,59,473
10389,60,66,52,50,69,65,61,48,471
10390,71,51,61,35,72,46,54,66,456
10391,64,54,55,41,66,54,71,62,467
10392,66,19,70,29,58,85,73,41,441
10393,66,28,73,50,66,62,69,44,458
10394,74,51,62,42,79,36,68,55,467
10395,77,53,70,42,68,39,78,51,478
10396,80,49,70,100,65,28,75,38,505
10397,69,29,46,36,60,36,59,75,410
10398,85,48,66,58,73,31,82,49,492
10399,66,34,57,29,64,23,54,44,371
10400,71,46,76,72,59,69,67,50,510
10401,80,65,40,67,73,42,70,42,479
10402,67,48,57,49,55,36,81,84,477
10403,77,55,44,50,65,100,48,42,481
10404,79,28,72,49,64,38,47,68,445
10405,72,48,67,39,53,29,83,77,468
10406,79,21,59,46,64,46,83,79,477
10407,73,96,49,45,70,71,48,66,518
10408,73,48,56,64,71,49,73,66,500
10409,71,50,71,38,65,51,85,60,491
10410,85,31,79,40,70,38,55,52,450
10411,67,73,66,58,71,53,60,42,490
10412,73,26,65,62,40,40,73,71,450
10413,67,76,58,73,63,37,61,70,505
10414,78,31,52,73,71,49,47,50,451
10415,60,66,70,58,61,33,79,78,505
10416,77,84,76,35,78,81,54,49,534
10417,73,65,60,69,66,55,61,57,506
10418,75,5,63,43,77,43,51,66,423
10419,76,44,58,36,64,30,85,61,454
10420,53,38,72,27,65,31,71,46,403
10421,69,63,68,36,68,44,79,42,469
10422,65,79,76,24,76,43,76,34,473
10423,64,26,62,52,80,60,63,62,469
10424,65,18,67,49,67,4,69,58,397
10425,85,57,48,33,74,45,65,40,447
10426,70,65,52,79,67,51,69,68,521
10427,67,60,73,59,93,58,60,31,501
10428,65,47,44,51,78,49,67,87,488
10429,54,50,84,37,71,35,76,25,432
10430,60,45,60,50,76,69,89,57,506
10431,70,31,64,20,85,54,63,58,445
10432,70,21,60,29,68,41,68,47,404
10433,70,20,47,52,76,53,77,48,443
10434,78,55,69,51,62,45,56,69,485
10435,74,26,56,64,73,46,86,56,481
10436,81,61,71,72,85,53,67,38,528
10437,59,13,49,46,81,27,74,60,409
10438,74,64,63,30,75,31,76,57,470
10439,62,30,56,19,58,56,61,55,397
10440,74,48,65,73,66,65,63,64,518
10441,56,28,57,14,73,35,78,67,408
10442,69,64,51,52,71,60,81,68,516
10443,75,81,48,40,69,76,79,58,526
10444,56,55,44,60,64,46,63,59,447
10445,80,46,54,70,59,54,72,38,473
10446,70,33,70,53,69,55,50,77,477
10447,69,71,73,63,78,52,70,60,536
10448,64,63,71,70,55,30,52,57,462
10449,63,73,59,51,79,46,73,56,500
10450,74,50,49,22,65,62,45,33,400
10451,68,29,67,54,77,37,47,46,425
10452,81,47,48,60,80,63,61,54,494
10453,81,37,61,62,81,36,71,48,477
10454,76,48,59,34,62,56,72,51,458
10455,76,56,80,36,67,48,61,74,498
10456,65,31,54,39,63,65,68,54,439
10457,62,30,61,76,65,48,96,34,472
10458,55,41,68,48,66,21,65,69,433
10459,82,46,46,65,63,29,54,30,415
10460,88,28,50,44,74,59,73,64,480
10461,73,41,51,44,72,42,63,89,475
10462,62,28,49,52,62,16,55,49,373
10463,56,35,46,58,53,53,67,43,411
10464,65,64,69,58,76,63,79,35,509
10465,68,36,66,12,70,47,72,70,441
10466,80,70,68,47,60,43,38,49,455
10467,75,29,57,48,57,91,95,39,491
10468,80,36,66,68,54,51,73,46,474
10469,68,47,53,28,69,57,61,43,426
10470,72,43,56,45,75,49,61,69,470
10471,63,18,70,45,80,56,58,50,440
10472,73,49,52,42,68,47,58,68,457
10473,67,65,64,65,75,71,54,76,537
10474,53,22,62,36,70,33,72,61,409
10475,61,41,55,49,84,45,83,40,458
10476,68,45,47,21,62,71,62,53,429
10477,68,58,62,68,74,52,58,72,512
10478,60,46,56,19,81,56,94,48,460
10479,67,65,63,70,67,36,66,74,508
10480,81,56,66,63,82,75,63,67,553
10481,66,59,82,48,72,62,81,48,518
10482,68,27,69,49,85,34,80,81,493
10483,65,42,77,64,61,38,74,62,483
10484,73,21,53,46,86,78,70,63,490
10485,85,50,58,50,76,59,75,60,513
10486,78,29,66,27,64,46,65,43,418
10487,76,27,56,41,65,68,64,31,428
10488,67,78,58,70,83,16,61,26,459
10489,78,28,43,33,49,41,53,63,388
10490,71,39,58,50,70,29,70,29,416
10491,76,76,54,44,62,34,78,65,489
10492,55,37,60,62,75,39,50,19,397
10493,70,60,93,46,69,47,71,61,517
10494,80,25,67,55,76,18,64,47,432
10495,78,57,85,50,62,32,64,55,483
10496,82,47,66,54,67,45,65,54,480
10497,76,55,68,56,76,72,38,56,497
10498,65,48,71,34,67,77,64,77,503
10499,74,18,57,34,72,56,42,75,428
10500,69,58,54,57,72,59,64,55,488
10501,66,19,46,60,53,22,60,55,381
10502,62,24,70,14,77,48,67,52,414
10503,67,29,41,61,68,32,61,44,403
10504,66,58,55,81,65,36,50,63,474
10505,71,50,45,68,72,76,73,38,493
10506,67,87,65,41,84,37,55,45,481
10507,60,68,59,31,63,19,59,63,422
10508,64,51,50,37,61,51,60,49,423
10509,65,86,59,60,61,45,58,56,490
10510,63,53,53,54,68,76,52,78,497
10511,75,45,69,51,78,48,86,52,504
10512,58,70,56,39,70,36,80,43,452
10513,65,68,56,29,74,39,55,54,440
10514,76,35,62,49,75,37,82,50,466
10515,71,44,56,59,63,43,56,40,432
10516,58,28,44,66,45,57,42,86,426
10517,56,43,53,70,89,56,63,63,493
10518,74,31,64,66,63,15,75,62,450
10519,71,40,59,35,73,44,61,68,451
10520,69,34,65,42,65,43,43,62,423
10521,88,75,54,61,72,29,71,49,499
10522,82,44,52,67,72,53,68,48,486
10523,80,60,59,64,70,56,30,48,467
10524,62,80,69,44,64,59,66,60,504
10525,83,77,56,57,58,37,62,53,483
10526,84,66,51,66,78,68,69,51,533
10527,83,49,54,50,60,40,75,59,470
10528,62,69,60,60,59,45,80,52,487
10529,76,49,70,39,74,54,87,64,513
10530,63,38,55,67,64,60,45,45,437
10531,73,44,55,43,64,62,49,40,430
10532,68,49,54,45,63,45,61,82,467
10533,79,70,49,38,54,45,64,54,453
10534,67,29,43,34,70,22,61,37,363
10535,84,48,71,31,67,40,79,31,451
10536,62,44,65,53,73,70,69,53,489
10537,71,35,48,35,83,45,57,56,430
10538,66,42,61,30,65,24,68,39,395
10539,70,49,57,36,81,26,54,45,418
10540,70,65,48,39,74,37,60,66,459
10541,72,54,65,44,66,32,41,49,423
10542,67,56,55,87,70,77,70,60,542
10543,62,65,60,88,75,50,73,70,543
10544,75,48,76,41,71,33,47,76,467
10545,70,56,57,45,59,36,63,36,422
10546,70,37,69,58,58,19,57,44,412
10547,66,52,71,48,81,26,83,43,470
10548,77,47,73,79,61,42,69,64,512
10549,77,56,62,75,74,54,59,53,510
10550,72,46,52,22,85,44,79,51,451
10551,84,49,71,44,59,49,74,56,486
10552,78,54,67,40,72,43,60,38,452
10553,90,44,82,42,61,71,59,68,517
10554,81,58,61,51,69,71,59,62,512
10555,77,47,60,42,72,65,57,71,491
10556,63,54,63,65,65,63,73,50,496
10557,78,50,30,55,82,41,75,49,460
10558,66,63,60,65,72,39,74,76,515
10559,75,37,61,30,69,56,52,68,448
10560,67,76,78,33,52,71,47,70,494
10561,71,69,69,32,69,45,62,31,448
10562,72,38,49,49,80,34,47,61,430
10563,70,34,42,49,62,44,65,39,405
10564,68,34,62,44,77,48,59,35,427
10565,71,70,58,18,73,48,34,52,424
